,Unnamed: 0,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction,aimedAction
0,0,Liujunqi,2,5,2,9,8,7,"[6794, 8058, 8792, 11683, 12441, 13741, 14192, 14512, 14814, 15125, 15431, 15847]","[(8, 7), [9, 7], [9, 6], [8, 6], [9, 6], [8, 6], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [2, 6], [2, 5]]","[(1, 0), (0, -1), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[4],"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,4,6,270,
1,1,Liujunqi,11,3,11,11,4,7,"[2073, 2366, 3254, 3576, 3764, 3969, 4170, 4372, 4694, 5405, 5644, 5866, 6278, 6634, 7027]","[(4, 7), [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [11, 8], [12, 8], [12, 9], [12, 10], [12, 11], [11, 11]]","[(-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (-1, 0)]","[1, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0]",2,8,7,90,
2,2,Liujunqi,3,14,11,14,7,6,"[2000, 2341, 2604, 2842, 3113, 3633, 3841, 4031, 4225, 4428, 4611, 4793, 4996, 5277]","[(7, 6), [7, 5], [8, 5], [9, 5], [10, 5], [11, 5], [11, 6], [11, 7], [11, 8], [11, 9], [11, 10], [11, 11], [11, 12], [11, 13], [11, 14]]","[(0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,8,8,180,
3,3,Liujunqi,0,5,0,9,8,7,"[2401, 2583, 2765, 2972, 3162, 3368, 3554, 3752, 4262, 4620]","[(8, 7), [7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [2, 8], [2, 9], [1, 9], [0, 9]]","[(-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0)]","[8, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,8,270,
4,4,Liujunqi,4,10,10,10,7,3,"[1909, 2191, 2404, 2857, 3079, 3278, 3464, 3662, 3839, 4036, 4400, 4663]","[(7, 3), [8, 3], [9, 3], [10, 3], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [9, 8], [9, 9], [9, 10], [10, 10]]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (1, 0)]",[9],"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2]",1,6,7,180,
5,5,Liujunqi,4,6,10,6,7,12,"[1896, 2197, 2471, 2831, 3032, 3206, 3365, 3555, 3802]","[(7, 12), [8, 12], [9, 12], [10, 12], [10, 11], [10, 10], [10, 9], [10, 8], [10, 7], [10, 6]]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[2, 2, 2, 0, 0, 0, 0, 0, 0]",0,6,6,0,
6,6,Liujunqi,3,6,11,6,7,0,"[2516, 2700, 2884, 3061, 3235, 3420, 3732, 3955, 4159, 4345, 4624, 4874]","[(7, 0), [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [8, 6], [9, 6], [8, 6], [9, 6], [10, 6], [11, 6]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0)]",[9],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",1,8,6,180,
7,7,Liujunqi,5,7,9,7,7,14,"[2387, 2582, 2772, 2946, 3143, 3319, 3511, 4078, 4318]","[(7, 14), [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [8, 7], [9, 7]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,7,0,
8,8,Liujunqi,0,4,0,10,8,7,"[2378, 2559, 2787, 2999, 3208, 3377, 3590, 3782, 3980, 4222, 4541, 4746, 4940]","[(8, 7), [8, 8], [7, 8], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [0, 7], [0, 8], [0, 9], [0, 10]]","[(0, 1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",2,6,8,270,
9,9,Liujunqi,7,5,7,9,13,7,"[1852, 2832, 3040, 3223, 3397, 3589, 3763, 3956, 4489, 4703, 5034, 5271]","[(13, 7), [14, 7], [13, 7], [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [7, 8], [7, 7], [7, 6], [7, 5]]","[(1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",special,4,6,270,
0,0,Zhangliqian,4,10,10,10,7,4,"[2123, 2425, 2644, 2843, 3020, 3176, 3427, 3638, 3823]","[(7, 4), [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [6, 10], [5, 10], [4, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1]",0,6,6,180,
1,1,Zhangliqian,6,3,6,11,12,7,"[1934, 2119, 2274, 2427, 2586, 2754, 2916, 3235, 3411, 3582]","[(12, 7), [11, 7], [11, 6], [10, 6], [9, 6], [8, 6], [7, 6], [6, 6], [6, 5], [6, 4], [6, 3]]","[(-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1,8,6,270,
2,2,Zhangliqian,5,13,9,13,7,6,"[1810, 1985, 2138, 2289, 2444, 2590, 2736, 3086, 3314, 3486, 3702]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [8, 11], [8, 10], [8, 11], [8, 12], [8, 13], [9, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (1, 0)]","[7, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",2,4,7,180,
3,3,Zhangliqian,11,3,11,11,3,7,"[1879, 2070, 2206, 2338, 2474, 2612, 2750, 3050, 3293, 3566, 3753, 3913]","[(3, 7), [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [9, 8], [10, 8], [11, 8], [11, 9], [11, 10], [11, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]",[7],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",1,8,8,90,
4,4,Zhangliqian,4,10,10,10,7,2,"[1877, 2042, 2202, 2347, 2510, 2660, 2818, 2948, 3203, 3380, 3568, 3758, 3926, 4113, 4353]","[(7, 2), [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [8, 10], [7, 10], [7, 9], [6, 9], [5, 9], [4, 9], [4, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[11, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",2,6,8,180,
5,5,Zhangliqian,3,5,11,5,7,12,"[1924, 2116, 2286, 2456, 2625, 2800, 2987, 3204, 3417, 3579, 3743]","[(7, 12), [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [8, 5], [9, 5], [10, 5], [11, 5]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",0,8,7,0,
6,6,Zhangliqian,5,5,5,9,11,7,"[1921, 2098, 2255, 2427, 2587, 2751, 2998, 3194]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [5, 8], [5, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 2, 2]",0,4,6,270,
7,7,Zhangliqian,5,11,9,11,7,3,"[1884, 2069, 2231, 2392, 2550, 2701, 2893, 3034, 3195, 3372, 3571, 3869]","[(7, 3), [7, 2], [7, 3], [7, 4], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [5, 11]]","[(0, -1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]","[4, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,4,8,180,
8,8,Zhangliqian,4,12,10,12,7,5,"[1742, 1937, 2065, 2201, 2319, 2489, 2656, 2824, 3035, 3209]","[(7, 5), [7, 6], [7, 7], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [9, 12], [10, 12]]","[(0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",1,6,7,180,
9,9,Zhangliqian,5,14,9,14,7,6,"[1621, 1819, 1993, 2155, 2333, 2525, 2734, 2927, 3271, 3655, 4318, 4684]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [7, 14], [8, 14], [7, 14], [6, 14], [5, 14]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",special,4,8,180,
0,0,Huangzhisheng,3,13,11,13,7,6,"[11800, 13399, 15378, 16664, 16980, 17315, 17564, 17778, 18008, 18229, 18545, 19533, 19952]","[(7, 6), [8, 6], [9, 6], [10, 6], [11, 6], [11, 7], [11, 8], [11, 9], [11, 10], [11, 11], [11, 12], [10, 12], [10, 13], [11, 13]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (1, 0)]",[11],"[2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2]",1,8,7,180,
1,1,Huangzhisheng,4,4,4,10,11,7,"[7990, 8211, 8398, 8617, 9737, 10039, 10290, 10969, 11438, 11948, 12537, 12834]","[(11, 7), [10, 7], [9, 7], [8, 7], [9, 7], [8, 7], [7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [4, 9], [4, 10]]","[(-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]","[7, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",2,6,7,270,
2,2,Huangzhisheng,13,5,13,9,6,7,"[3060, 3406, 3732, 4043, 4341, 4657, 5045, 5525, 5882]","[(6, 7), [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [13, 7], [13, 8], [13, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,7,90,
3,3,Huangzhisheng,4,5,4,9,10,7,"[2703, 2979, 3240, 3473, 3704, 3980, 4733, 5030]","[(10, 7), [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [4, 6], [4, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]",0,4,6,270,
4,4,Huangzhisheng,3,2,11,2,7,10,"[3081, 3397, 3678, 3927, 4190, 4476, 4885, 5318, 5869, 6349, 6701, 7033, 7261, 7471]","[(7, 10), [7, 9], [7, 8], [7, 7], [7, 6], [8, 6], [8, 5], [8, 4], [7, 4], [7, 3], [7, 2], [8, 2], [9, 2], [10, 2], [11, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]","[5, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",2,8,8,0,
5,5,Huangzhisheng,4,4,10,4,7,12,"[2352, 2676, 2961, 3245, 3637, 3950, 4264, 4581, 4921, 5422, 6158, 6564, 6828]","[(7, 12), [7, 11], [7, 10], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [6, 4], [5, 4], [4, 4]]","[(0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1,6,8,0,
6,6,Huangzhisheng,4,3,4,11,10,7,"[2473, 2663, 2908, 3554, 3904, 4257, 4662, 4943, 5237, 5553, 6396, 6711]","[(10, 7), [9, 7], [9, 8], [8, 8], [7, 8], [6, 8], [5, 8], [4, 8], [4, 9], [4, 10], [5, 10], [5, 11], [4, 11]]","[(-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (-1, 0)]","[10, 2]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",2,8,6,270,
7,7,Huangzhisheng,12,4,12,10,6,7,"[1906, 2162, 2395, 2633, 2892, 3327, 3628, 4010, 4409, 4776, 5114]","[(6, 7), [7, 7], [8, 7], [9, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [12, 6], [12, 5], [12, 4]]","[(1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1,6,6,90,
8,8,Huangzhisheng,5,10,9,10,7,2,"[1977, 2286, 2526, 2780, 3049, 3301, 3618, 3966, 4633, 4846]","[(7, 2), [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [6, 10], [5, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,8,180,
9,9,Huangzhisheng,4,4,10,4,7,10,"[1999, 2337, 2615, 3205, 3619, 4018, 4434, 4856, 5450, 5710, 5952]","[(7, 10), [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",special,6,6,0,
0,0,Sunjingzhuo,11,3,11,11,5,7,"[2336, 3121, 3318, 3485, 4259, 4402, 4582, 4738, 4910, 5259]","[(5, 7), [5, 6], [5, 5], [5, 4], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",0,8,6,90,
1,1,Sunjingzhuo,5,8,9,8,7,1,"[2269, 2474, 2782, 2955, 3122, 3283, 3474, 3781, 4913]","[(7, 1), [6, 1], [6, 2], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [5, 8]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[1],"[0, 0, 0, 0, 0, 0, 0, 0, 1]",1,4,7,180,
2,2,Sunjingzhuo,3,5,11,5,7,13,"[1959, 2142, 2301, 2446, 2607, 2734, 2908, 3050, 3457, 4098, 4403, 4768]","[(7, 13), [7, 12], [8, 12], [8, 11], [8, 10], [8, 9], [8, 8], [8, 7], [8, 6], [9, 6], [10, 6], [11, 6], [11, 5]]","[(0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1)]","[2, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0]",2,8,8,0,
3,3,Sunjingzhuo,3,0,11,0,7,7,"[1939, 2937, 3074, 3198, 3330, 3554, 3959, 4596, 4798, 4924, 5073]","[(7, 7), [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [7, 0], [6, 0], [5, 0], [4, 0], [3, 0]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,8,7,0,
4,4,Sunjingzhuo,4,12,10,12,7,6,"[2145, 3030, 3217, 3392, 3560, 3709, 3863, 4299, 4514, 5140, 5608]","[(7, 6), [8, 6], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [9, 12], [9, 11], [10, 11], [10, 12]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, -1), (1, 0), (0, 1)]","[9, 1]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]",2,6,6,180,
5,5,Sunjingzhuo,4,4,10,4,7,11,"[1906, 2225, 2350, 3019, 3190, 3356, 3517, 4765, 4944, 5371]","[(7, 11), [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [6, 5], [5, 5], [4, 5], [4, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[7],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1,6,7,0,
6,6,Sunjingzhuo,5,1,9,1,7,7,"[1906, 2141, 2294, 2478, 2627, 2821, 3008, 3167, 3614, 4324]","[(7, 7), [7, 6], [7, 5], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [6, 1], [5, 1]]","[(0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,4,6,0,
7,7,Sunjingzhuo,4,3,10,3,7,11,"[1768, 2232, 2390, 2575, 3249, 3474, 3633, 3787, 3932, 4083, 4240, 4682, 4990]","[(7, 11), [8, 11], [9, 11], [10, 11], [11, 11], [11, 10], [11, 9], [11, 8], [11, 7], [11, 6], [11, 5], [11, 4], [11, 3], [10, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]",[],"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,6,8,0,
8,8,Sunjingzhuo,10,5,10,9,2,7,"[2025, 2896, 3054, 3200, 3344, 3490, 3644, 3823, 4249, 4839, 5620, 5910]","[(2, 7), [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [8, 8], [9, 8], [10, 8], [9, 8], [9, 9], [10, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (-1, 0), (0, 1), (1, 0)]","[10, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0]",2,4,8,90,
9,9,Sunjingzhuo,3,2,11,2,7,8,"[1790, 2102, 2257, 2409, 2539, 2919, 3168, 3344, 3547, 3729, 3941, 4372]","[(7, 8), [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [8, 2], [7, 2], [6, 2], [5, 2], [4, 2], [3, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",special,8,6,0,
0,0,杨春萍,3,8,11,8,7,2,"[4803, 5865, 6686, 7121, 7754, 8283, 8919, 10011, 10430, 10881]","[(7, 2), [8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7], [8, 8], [9, 8], [10, 8], [11, 8]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[1],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",1,8,6,180,
